ax,ay,az,gx,gy,gz
-0.324,-0.306,0.919,2.502,2.014,-5.859
-0.331,-0.267,0.911,1.648,1.343,-6.104
-0.336,-0.234,0.902,1.404,0.916,-5.981
-0.333,-0.228,0.897,1.404,1.099,-5.005
-0.337,-0.234,0.909,1.343,1.648,-3.479
-0.339,-0.245,0.917,1.160,2.014,-2.258
-0.341,-0.267,0.919,1.587,2.136,-1.343
-0.339,-0.293,0.921,1.587,2.136,-0.732
-0.335,-0.314,0.922,1.953,2.136,-0.732
-0.338,-0.325,0.926,1.892,1.892,-0.977
-0.332,-0.323,0.925,1.465,1.770,-1.526
-0.332,-0.310,0.926,0.977,1.526,-2.197
-0.335,-0.293,0.919,0.488,0.977,-2.747
-0.339,-0.271,0.905,0.793,0.488,-3.052
-0.345,-0.255,0.901,0.977,0.244,-2.747
-0.349,-0.255,0.904,0.732,0.671,-1.953
-0.348,-0.262,0.918,0.000,1.282,-1.221
-0.344,-0.264,0.934,-1.343,1.343,-0.671
-0.348,-0.262,0.947,-2.014,0.793,-0.488
-0.349,-0.266,0.949,-2.197,-0.061,-0.061
-0.348,-0.275,0.945,-2.319,-1.160,0.671
-0.347,-0.274,0.932,-2.686,-2.197,0.916
-0.330,-0.292,0.918,-2.869,-2.625,1.587
-0.336,-0.278,0.889,-4.089,-3.723,1.953
-0.337,-0.249,0.874,-5.249,-4.944,1.831
-0.343,-0.237,0.870,-4.700,-4.578,2.625
-0.356,-0.234,0.866,-5.615,-4.395,3.906
-0.370,-0.245,0.868,-5.493,-3.540,5.310
-0.366,-0.270,0.887,-4.333,-2.380,6.897
-0.359,-0.290,0.924,-3.540,-1.160,7.996
-0.375,-0.291,0.955,-2.197,-0.244,8.545
-0.390,-0.285,0.969,-0.244,-0.122,8.667
-0.397,-0.282,0.977,1.343,-0.061,9.460
-0.396,-0.277,0.991,3.113,0.000,10.193
-0.389,-0.279,1.004,4.456,0.244,11.169
-0.370,-0.290,1.017,5.798,0.122,11.902
-0.357,-0.296,1.024,5.676,-0.732,12.146
-0.340,-0.302,1.017,5.554,-1.709,12.573
-0.331,-0.316,1.000,4.211,-2.502,13.245
-0.319,-0.357,0.962,2.441,-3.479,14.099
-0.306,-0.405,0.919,0.122,-4.211,14.099
-0.296,-0.435,0.886,-3.296,-4.211,13.123
-0.296,-0.457,0.880,-5.371,-3.174,11.230
-0.294,-0.458,0.897,-6.409,-1.587,8.423
-0.289,-0.425,0.924,-7.812,0.305,5.432
-0.288,-0.367,0.954,-8.484,1.648,3.418
-0.290,-0.306,0.987,-7.874,2.075,2.502
-0.289,-0.260,1.005,-7.019,1.892,2.869
-0.298,-0.237,1.010,-6.287,0.732,4.700
-0.306,-0.244,1.000,-5.615,-0.977,7.141
-0.302,-0.275,0.979,-4.028,-1.953,9.399
-0.296,-0.303,0.959,-2.808,-2.380,10.071
-0.288,-0.307,0.944,-2.197,-2.441,9.644
-0.281,-0.279,0.940,-1.831,-2.625,8.179
-0.274,-0.258,0.943,-1.221,-2.441,7.080
-0.260,-0.247,0.948,-0.305,-2.197,6.958
-0.241,-0.243,0.960,-0.122,-2.136,6.836
-0.230,-0.256,0.967,0.366,-2.136,7.202
-0.223,-0.278,0.964,0.916,-2.380,7.019
-0.207,-0.294,0.962,1.343,-3.052,6.348
-0.198,-0.290,0.965,1.282,-3.601,5.249
-0.190,-0.279,0.965,0.671,-4.028,4.089
-0.188,-0.272,0.958,1.099,-5.066,3.357
-0.188,-0.254,0.949,1.038,-6.226,2.625
-0.191,-0.246,0.943,1.099,-6.836,2.380
-0.196,-0.249,0.937,0.854,-6.836,2.747
-0.196,-0.266,0.924,0.366,-7.080,2.747
-0.206,-0.290,0.902,0.061,-7.446,2.441
-0.213,-0.306,0.872,0.122,-7.141,1.343
-0.225,-0.302,0.853,-0.122,-6.165,-0.305
-0.236,-0.277,0.852,0.000,-4.456,-2.136
-0.248,-0.248,0.860,0.854,-2.869,-3.723
-0.254,-0.221,0.879,1.587,-1.770,-4.456
-0.264,-0.196,0.910,1.465,-0.427,-4.761
-0.274,-0.191,0.934,1.526,0.305,-4.395
-0.288,-0.199,0.937,1.343,-0.061,-3.906
