ax,ay,az,gx,gy,gz
0.785,-0.068,0.550,2.625,0.244,-0.244
0.790,-0.067,0.552,2.747,-0.366,0.000
0.799,-0.064,0.556,2.869,-0.732,0.366
0.804,-0.063,0.558,2.930,-1.282,0.732
0.803,-0.062,0.560,2.930,-1.709,0.854
0.804,-0.060,0.564,2.930,-1.953,0.671
0.802,-0.059,0.567,3.052,-2.075,0.854
0.798,-0.058,0.570,3.113,-2.075,1.526
0.797,-0.056,0.571,3.357,-2.014,2.380
0.796,-0.055,0.573,3.235,-1.648,3.540
0.798,-0.055,0.574,2.747,-0.732,4.456
0.798,-0.055,0.575,2.686,0.061,4.761
0.799,-0.054,0.575,2.502,0.610,4.761
0.800,-0.054,0.579,2.319,1.343,4.272
0.802,-0.053,0.578,2.380,1.770,4.028
0.803,-0.054,0.577,2.319,2.197,3.906
0.802,-0.053,0.575,2.563,2.197,4.089
0.797,-0.055,0.572,2.930,1.831,4.333
0.798,-0.051,0.573,3.357,1.282,4.150
0.801,-0.048,0.575,3.601,0.671,3.967
0.802,-0.046,0.575,3.723,0.488,3.967
0.798,-0.046,0.576,3.906,0.610,4.150
0.794,-0.046,0.575,3.906,1.038,4.456
0.791,-0.047,0.573,3.540,1.770,4.944
0.790,-0.047,0.570,3.479,2.808,5.066
0.790,-0.047,0.567,3.174,3.662,5.127
0.790,-0.046,0.564,2.686,4.028,5.066
0.786,-0.046,0.563,2.563,4.272,4.883
0.785,-0.046,0.561,2.747,4.028,4.944
0.781,-0.046,0.560,2.991,3.479,4.944
0.778,-0.047,0.562,3.174,2.869,5.249
0.775,-0.045,0.564,3.174,2.380,5.432
0.774,-0.045,0.566,3.235,2.014,5.371
0.773,-0.046,0.568,3.479,1.770,5.188
0.771,-0.045,0.567,3.418,1.709,5.005
0.771,-0.044,0.567,3.479,1.770,4.883
0.768,-0.040,0.568,3.540,1.953,4.883
0.770,-0.036,0.569,3.235,1.892,4.944
0.772,-0.033,0.570,3.235,1.770,4.883
0.773,-0.031,0.571,3.113,1.648,4.578
0.775,-0.030,0.571,3.296,1.526,4.517
0.773,-0.030,0.569,3.296,1.709,4.333
0.771,-0.030,0.567,3.296,1.831,4.272
0.769,-0.030,0.562,3.357,2.502,3.967
0.770,-0.030,0.561,3.113,3.235,3.723
0.775,-0.030,0.560,2.686,3.662,3.235
0.778,-0.030,0.557,2.686,3.967,2.441
0.777,-0.033,0.557,3.113,3.540,1.526
0.779,-0.036,0.557,3.662,2.747,0.732
0.785,-0.036,0.557,3.845,1.709,0.549
0.787,-0.037,0.560,3.906,1.038,0.732
0.786,-0.039,0.563,4.028,0.366,0.916
0.787,-0.041,0.565,4.333,-0.122,0.671
0.788,-0.044,0.567,4.517,-0.244,0.305
0.788,-0.047,0.568,4.089,0.122,0.305
0.787,-0.048,0.567,3.662,0.549,0.916
0.787,-0.050,0.567,3.479,1.282,1.465
0.786,-0.052,0.565,3.052,1.953,1.892
0.787,-0.053,0.566,3.052,2.319,2.014
0.791,-0.054,0.569,3.052,2.197,1.953
0.792,-0.057,0.571,2.869,1.831,2.197
0.794,-0.057,0.573,2.869,1.099,2.441
0.796,-0.057,0.581,3.296,0.183,2.625
0.796,-0.055,0.583,3.418,-0.305,3.174
0.795,-0.055,0.586,3.601,-0.488,3.418
0.792,-0.054,0.587,3.601,-0.122,3.723
0.791,-0.055,0.587,3.479,0.793,3.784
0.790,-0.056,0.584,3.174,1.709,3.540
0.789,-0.054,0.584,3.052,2.869,3.418
0.790,-0.052,0.585,2.930,3.418,3.296
0.790,-0.051,0.584,2.686,3.540,3.235
0.789,-0.049,0.580,2.808,3.540,3.235
0.788,-0.047,0.578,3.113,3.296,3.418
0.785,-0.047,0.576,3.235,3.113,3.479
0.782,-0.046,0.573,3.174,2.930,3.845
0.785,-0.044,0.573,3.174,3.174,4.089
0.787,-0.043,0.571,2.991,3.662,4.028
0.787,-0.043,0.571,2.502,3.845,3.845
0.786,-0.043,0.569,2.197,4.333,3.174
0.787,-0.045,0.569,2.014,4.089,2.502
0.787,-0.046,0.569,2.014,3.723,2.380
0.786,-0.046,0.569,2.014,3.235,2.747
0.784,-0.048,0.570,2.136,2.686,3.174
0.781,-0.047,0.570,2.258,2.380,3.723
0.778,-0.047,0.569,1.953,2.319,4.150
0.777,-0.048,0.570,1.953,2.686,4.272
0.778,-0.048,0.571,1.709,3.296,4.211
0.778,-0.047,0.571,1.587,3.601,3.906
0.778,-0.045,0.569,1.343,3.601,3.784
0.778,-0.043,0.570,1.221,3.357,3.601
0.777,-0.042,0.570,1.465,3.052,4.089
0.778,-0.040,0.568,1.465,2.747,4.578
0.778,-0.040,0.569,1.526,2.686,4.822
0.780,-0.039,0.570,1.648,2.686,4.639
0.782,-0.041,0.571,1.404,2.869,4.150
0.785,-0.041,0.571,1.343,2.563,3.235
0.785,-0.041,0.574,1.404,2.197,2.869
0.781,-0.040,0.573,1.404,1.953,2.686
0.778,-0.039,0.574,1.465,1.831,2.869
0.776,-0.038,0.574,1.587,1.770,3.052
0.774,-0.036,0.572,1.465,2.258,3.357
0.774,-0.036,0.568,1.404,2.991,3.540
0.776,-0.037,0.565,0.916,3.540,3.235
0.778,-0.039,0.562,0.793,4.028,2.991
0.782,-0.040,0.560,0.549,4.028,2.625
0.783,-0.039,0.560,0.427,3.418,2.502
0.782,-0.037,0.560,0.671,2.441,2.502
0.782,-0.036,0.563,0.916,1.404,2.502
0.782,-0.033,0.566,0.854,0.427,2.563
0.780,-0.035,0.569,1.099,-0.183,2.319
0.779,-0.036,0.572,1.038,-0.488,2.319
0.777,-0.040,0.574,0.793,0.122,2.563
0.776,-0.042,0.574,0.671,0.488,2.441
0.776,-0.042,0.575,0.427,0.916,2.502
0.777,-0.042,0.573,0.183,1.465,2.197
0.778,-0.042,0.573,0.000,1.404,2.014
0.778,-0.041,0.571,0.183,1.343,2.014
0.777,-0.042,0.571,0.366,0.977,1.953
0.778,-0.043,0.570,0.305,0.732,1.892
0.776,-0.047,0.571,0.366,0.366,1.831
0.775,-0.050,0.574,0.427,-0.061,1.648
0.779,-0.053,0.576,0.122,-0.549,1.831
0.783,-0.057,0.580,0.061,-1.038,1.770
0.784,-0.060,0.581,-0.122,-1.526,1.953
0.782,-0.064,0.580,-0.122,-1.648,2.380
0.778,-0.067,0.578,-0.183,-1.282,2.686
