ax,ay,az
0.104432,-0.072468,0.985760
0.105896,-0.073200,0.986248
0.103456,-0.077348,0.994300
0.102236,-0.080276,0.994544
0.101504,-0.084912,0.993568
0.098576,-0.083448,0.992348
0.095160,-0.081984,0.990152
0.095648,-0.082228,0.992836
0.096136,-0.085156,0.991128
0.095648,-0.088084,0.990640
0.094672,-0.087596,0.985760
0.094428,-0.089548,0.982588
0.092964,-0.096136,0.985272
0.095404,-0.099308,0.991128
0.094184,-0.101504,0.997716
0.093940,-0.104188,0.999912
0.089304,-0.102724,0.999912
0.081740,-0.098820,1.000888
0.078568,-0.097844,1.003816
0.082472,-0.098820,1.003572
0.082716,-0.104920,0.999180
0.080276,-0.108092,0.994300
0.075396,-0.102236,0.992104
0.074176,-0.098332,0.991860
0.079544,-0.096380,0.990396
0.087596,-0.101016,0.991372
0.091500,-0.106140,0.990884
0.092476,-0.110288,0.985760
0.093208,-0.111508,0.978928
0.090768,-0.111996,0.975756
0.091256,-0.111508,0.983320
0.093940,-0.112484,0.996740
0.095892,-0.113216,1.000888
0.101504,-0.109312,1.000644
0.103700,-0.110532,1.000400
0.101016,-0.108824,0.999912
0.098332,-0.110044,1.000644
0.091988,-0.107604,1.002840
0.091012,-0.101748,0.997960
0.096380,-0.094916,1.000400
0.097600,-0.101260,1.003084
0.101748,-0.101504,1.006988
0.101260,-0.095160,1.003328
0.100040,-0.095160,1.000400
0.096624,-0.092232,1.000400
0.096380,-0.091500,1.000644
0.097356,-0.095892,1.000400
0.099552,-0.095648,1.000400
0.102480,-0.097356,1.001864
0.105652,-0.096136,1.006744
0.105652,-0.098820,1.010892
0.101260,-0.100772,1.016016
0.099552,-0.100772,1.016504
0.096380,-0.098332,1.017480
0.096136,-0.095404,1.016992
0.098576,-0.094428,1.009916
0.099796,-0.091500,1.000156
0.098820,-0.091988,1.000644
0.100528,-0.091500,1.000888
0.096136,-0.096624,1.000156
0.095160,-0.102236,0.997472
0.090768,-0.101016,0.995276
0.088572,-0.098576,0.994788
0.089060,-0.097600,0.995032
0.088328,-0.101260,0.996984
0.084180,-0.100284,0.994300
0.084424,-0.099552,0.996252
