Initialize correctly IMU!
Step Detector Configured. Starting...
ax,ay,az,state,step_detected
Measured Frequency: 0 Hz
-0.054412,0.018544,0.965508,LOOKING_FOR_FIRST_MAX,0
-0.054900,0.015128,0.977464,LOOKING_FOR_FIRST_MAX,0
-0.061976,0.024400,0.976488,LOOKING_FOR_FIRST_MAX,0
-0.061732,0.035624,0.993568,LOOKING_FOR_FIRST_MAX,0
-0.062708,0.047092,1.001620,LOOKING_FOR_FIRST_MAX,0
-0.059048,0.056120,1.014796,LOOKING_FOR_FIRST_MAX,0
-0.054168,0.068564,1.038952,LOOKING_FOR_FIRST_MAX,0
-0.044652,0.077592,1.050908,LOOKING_FOR_FIRST_MAX,0
-0.019520,0.094916,1.054812,LOOKING_FOR_FIRST_MAX,0
-0.003172,0.097600,1.056764,LOOKING_FOR_FIRST_MAX,0
0.001464,0.099796,1.053104,LOOKING_FOR_FIRST_MAX,0
0.019276,0.087840,1.103612,LOOKING_FOR_FIRST_MAX,0
0.032940,0.069296,1.098976,LOOKING_FOR_FIRST_MAX,0
0.055388,0.056852,1.108248,LOOKING_FOR_FIRST_MAX,0
0.064660,0.056608,1.144360,LOOKING_FOR_FIRST_MAX,0
0.004880,0.017812,1.108980,LOOKING_FOR_FIRST_MAX,0
0.059292,0.026352,1.076772,LOOKING_FOR_FIRST_MAX,0
0.050020,0.038064,1.092632,LOOKING_FOR_FIRST_MAX,0
0.025620,0.031720,1.070184,LOOKING_FOR_FIRST_MAX,0
0.001220,0.038796,1.059204,LOOKING_FOR_FIRST_MAX,0
-0.016592,0.065636,1.079456,LOOKING_FOR_FIRST_MAX,0
-0.036600,0.037088,1.037000,LOOKING_FOR_FIRST_MAX,0
-0.055876,0.033184,1.072380,LOOKING_FOR_FIRST_MAX,0
-0.054168,0.031720,1.078480,LOOKING_FOR_FIRST_MAX,0
-0.050752,0.025132,1.027972,LOOKING_FOR_FIRST_MAX,0
-0.040016,0.040748,1.011868,LOOKING_FOR_FIRST_MAX,0
-0.025864,0.077348,1.014064,LOOKING_FOR_FIRST_MAX,0
-0.019764,0.070028,1.015040,LOOKING_FOR_FIRST_MAX,0
-0.018056,0.064172,1.022360,LOOKING_FOR_FIRST_MAX,0
-0.023180,0.079788,1.020408,LOOKING_FOR_FIRST_MAX,0
-0.023424,0.093940,1.005524,LOOKING_FOR_FIRST_MAX,0
-0.025864,0.104676,0.993080,LOOKING_FOR_FIRST_MAX,0
